"Itn","Losses","","File 1","File 2","File 3","File 4","File 5","Average"
"","","Precision : ","0.7701149425287356","0.73828125","0.7454545454545455","0.8333333333333334","0.9285714285714286","0.8031510999776087"
"35","2124.0","Recall : ","0.8072289156626506","0.7620967741935484","0.3253968253968254","0.4020100502512563","0.7137254901960784","0.6020916111400718"
"","","F1 Score : ","0.788235294117647","0.7499999999999999","0.4530386740331491","0.5423728813559322","0.8070953436807097","0.6681484386374875"

"","","Precision : ","0.7444444444444445","0.7242647058823529","0.7464788732394366","0.7043478260869566","0.8904109589041096","0.7619893617114599"
"36","2090.0","Recall : ","0.8072289156626506","0.7943548387096774","0.42063492063492064","0.40703517587939697","0.7647058823529411","0.6387919466479173"
"","","F1 Score : ","0.7745664739884394","0.7576923076923077","0.5380710659898478","0.5159235668789809","0.8227848101265822","0.6818076449352316"

"","","Precision : ","0.4339622641509434","0.5125","0.5548387096774193","0.601063829787234","0.6538461538461539","0.5512421914923501"
"37","2048.4542562961578","Recall : ","0.8313253012048193","0.8266129032258065","0.6825396825396826","0.5678391959798995","0.8","0.7416634165900418"
"","","F1 Score : ","0.5702479338842976","0.6327160493827161","0.6120996441281138","0.5839793281653747","0.7195767195767195","0.6237239350274443"

"","","Precision : ","0.576271186440678","0.475","0.5748031496062992","0.5454545454545454","0.7578125","0.5858682763003045"
"38","2140.000000003995","Recall : ","0.8192771084337349","0.842741935483871","0.5793650793650794","0.5125628140703518","0.7607843137254902","0.7029462502157054"
"","","F1 Score : ","0.6766169154228856","0.6075581395348836","0.5770750988142292","0.5284974093264249","0.7592954990215265","0.62980861242399"

"","","Precision : ","0.6055045871559633","0.5769230769230769","0.6593406593406593","0.6729559748427673","0.8152610441767069","0.6659970684878347"
"39","2030.0","Recall : ","0.7951807228915663","0.8467741935483871","0.47619047619047616","0.5376884422110553","0.796078431372549","0.6903824532428068"
"","","F1 Score : ","0.6875000000000001","0.6862745098039215","0.5529953917050692","0.5977653631284916","0.8055555555555556","0.6660181640386076"

"","","Precision : ","0.7590361445783133","0.657439446366782","0.725","0.6935483870967742","0.8225108225108225","0.7315069601105384"
"40","2084.0","Recall : ","0.7590361445783133","0.7661290322580645","0.4603174603174603","0.4321608040201005","0.7450980392156863","0.632548296077925"
"","","F1 Score : ","0.7590361445783133","0.707635009310987","0.5631067961165048","0.5325077399380805","0.7818930041152264","0.6688357388118223"

"","","Precision : ","0.7674418604651163","0.608955223880597","0.75","0.7107438016528925","0.823045267489712","0.7320372306976635"
"41","2008.0","Recall : ","0.7951807228915663","0.8225806451612904","0.5","0.4321608040201005","0.7843137254901961","0.6668471795126305"
"","","F1 Score : ","0.7810650887573964","0.6998284734133792","0.6","0.5375","0.8032128514056225","0.6843212827152797"

"","","Precision : ","0.8051948051948052","0.6210191082802548","0.6829268292682927","0.7196969696969697","0.8502202643171806","0.7358115953515005"
"42","1884.0","Recall : ","0.7469879518072289","0.7862903225806451","0.4444444444444444","0.47738693467336685","0.7568627450980392","0.6423944797207449"
"","","F1 Score : ","0.7749999999999999","0.6939501779359429","0.5384615384615384","0.5740181268882175","0.8008298755186721","0.6764519437608741"

